	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
341	Everton	Burnley	1	0	18/04/2015	15	Everton will hope that the return of Romelu Lukaku will give them impetus to equal their season’s best run, five games unbeaten, as a disappointing campaign draws to a close. Burnley, glad to see the back of eight matches against the league’s top eight, will be fighting hard to pick up three points in their fight to stay up at Goodison, which is not the fortress that it was last season. This is the 100th top-flight meeting between the two sides. Graham Searles	1	-0.8463931083679199,0.0074295103549957275
342	Leicester City	Swansea City	2	0	18/04/2015	15	Suddenly Leicester is awash with optimism. Bottom of the table since November, the Foxes could leap out of the relegation zone with victory over a depleted Swansea side. While Garry Monk has to decide who to turn to for goals in the absence of striker Bafétimbi Gomis, Nigel Pearson has a fully fit squad and players who are infused with confidence following two successive victories. Erratic finishing has been a recurring problem for Leicester this season, but if they are wearing their shooting boots on Saturday, the hosts could claim a precious three points. Paul Doyle	1	0.33333486318588257,0
343	Stoke City	Southampton	2	1	18/04/2015	15	Southampton travel to Stoke hoping to keep their Champions League ambitions alive. The Saints are five points behind fourth-placed Manchester City and will believe that overhauling the champions is still possible. Mark Hughes has said he will use the game to gauge Stoke’s progress and any positive result would show they had made some as Stoke have lost to Southampton twice this season. Graham Searles	1	0.9912576675415039,0.9963509440422058
344	Manchester City	West Ham United	2	0	19/04/2015	15	The fascination with this fixture lies in what may happen to Manuel Pellegrini if Manchester City lose. If the champions were to suffer a seventh defeat in nine outings to continue their slump in 2015 – City were joint-top on New Year’s Day and are now fourth – the manager’s position may become untenable. In this scenario Liverpool, who are in FA Cup semi-final action this weekend, could close to only a point behind if they won their extra match. A victory, though, and Pellegrini’s garden, and that of City’s, becomes far rosier. Jamie Jackson	1	-0.19937461614608765,0
345	Newcastle United	Tottenham Hotspur	1	3	19/04/2015	15	Newcastle have lost five consecutive Premier League games and it looks as if some players have already begun to think of pastures new. John Carver will find it tough motivating his side considering their abject form and Tottenham Hotspur will be looking to capitalise on this. Spurs may also struggle for motivation, though, as it looks as if they will miss out on the Champions League. Graham Searles	-1	-0.998815655708313,-0.9545535147190094
346	Burnley	Leicester City	0	1	25/04/2015	15	Three successive victories have lifted Leicester City off the foot of the table and they will look to continue that run against Burnley, the side who now find themselves propping up the rest of the league. It promises to be a tumultuous affair at Turf Moor. Leicester are in form, while Burnley will fight until the end. However Burnley have problems in attack, with Ashley Barnes suspended and Danny Ings goalless in his past eight matches. Jacob Steinberg	-1	0.28823111454645794,0.9992415904998779
347	Crystal Palace	Hull City	0	2	25/04/2015	15	Hull City travel to Crystal Palace above the relegation zone, but if their current run of poor form continues , and the clubs below them carry on their recent renaissance, the bottom three will beckon at the final whistle. Crystal Palace have performed well under Alan Pardew and he will expect a return to winning ways after a disappointing defeat to West Brom last time out. Graham Searles	-1	0.6977838277816772,-0.6279986500740051
348	Manchester City	Aston Villa	3	2	25/04/2015	15	Manchester City have won six of the last seven league encounters against Aston Villa. It might not be a procession this time, though, with Tim Sherwood’s FA Cup finalists showing strength to turn around their Wembley tie against Liverpool last weekend. Without Belgium team-mate Vincent Kompany in his way, Christian Benteke could extend his scoring run to five games in a row. Graham Searles	1	0.9984464049339294,0.9817672073841095
349	Newcastle United	Swansea City	2	3	25/04/2015	15	After six straight defeats and with relegation fears not quite banished John Carver could do with Newcastle finally winning a game. Supporters plan to stand up en masse in the 34th minute to protest against Mike Ashley’s ownership where cash reserves of £34m sit untouched in the bank while a threadbare squad remains alarmingly under-staffed. Carver has said Newcastle may need to play ugly and there promises to be a contrast between their tactics and Swansea’s possession game. Louise Taylor	-1	-0.298759400844574,0
350	Queens Park Rangers	West Ham United	0	0	25/04/2015	15	If QPR are to accumulate sufficient points to stay up, Chris Ramsey will have marked this game as a must-win. The manager will be plotting trips to Anfield and the Etihad after this as matches they would not be expected to triumph in. West Ham, currently 10th and with one win from 12 in all competitions, are easing to the finish line and look to be there for the taking. Alan Smith	0	0.9974727034568787,0.9991180300712585
351	Southampton	Tottenham Hotspur	2	2	25/04/2015	15	Mauricio Pochettino does not hide the fact that he would rather be spared the toils of the Europa League next season, yet he will surely want Tottenham to win on his return to St Mary’s. Ronald Koeman, by contrast, is eager for his team to qualify for European competition and victory over Spurs would help secure that and also give the club more points than they achieved under the Argentinian last term. Paul Doyle	0	0,0.9535312652587891
352	Stoke City	Sunderland	1	1	25/04/2015	15	Sunderland have a number of players missing for their visit to the Potteries: Steven Fletcher, Seb Larsson, Emanuele Giaccherini, Wes Brown and Ricky Álvarez. Stoke City will have midfielder Stephen Ireland ready but will be missing Marc Muniesa. Sunderland, 16th in the league, find themselves in a precarious position and will need a positive result to stave off relegation fears. George Sandeman	0	-0.9961575865745544,-0.9909286201000214
353	West Brom	Liverpool	0	0	25/04/2015	15	After suffering FA Cup defeat at the hands of Aston Villa last week, Liverpool face another Midlands side. Tony Pulis will have Craig Dawson available but will be without Youssouf Mulumbu and Andre Wisdom. Liverpool will want to put some distance between themselves and Spurs and Southampton in the table while the Baggies will hope to reinforce their Premier League safety. George Sandeman	0	-0.9885339140892029,0.03702664375305176
354	Arsenal	Chelsea	0	0	26/04/2015	15	Arsenal have their opportunity to nibble at Chelsea’s lead, with Arsène Wenger seeking a first victory over a José Mourinho side at the 13th try, and to postpone the visitors’ coronation for another week at least. The focus will be drawn towards Cesc Fàbregas on his first return to the Emirates as a Chelsea player with Mourinho’s sales pitch having lured him from Barcelona last summer. “I promised him he’d be an important player in our project,” said the Portuguese. “And that, normally, good projects end with titles.” The home support will be pained that their former favourite is close to achieving that aim. Dominic Fifield	0	0.9079700112342834,0.9908502697944641
355	Everton	Manchester United	3	0	26/04/2015	15	The Grim Reaper will not be awaiting Manchester United’s manager on this visit to Goodison Park. A year on from David Moyes’ final game at United, against his former club of all teams, Louis van Gaal takes his in-form side to Everton seeking to strengthen claims on automatic Champions League qualification. United need a response to last weekend’s defeat at Chelsea with Manchester City and Liverpool in pursuit but Roberto Martínez’s side have improved of a difficult season with four wins in a five-game unbeaten run. Andy Hunter	1	0,0.3362513581911723
